"Full_Address","latitude","longitude"
"2387 HWY 72 E, GLEN, MS 38846",34.8748328,-88.4349556
"4404 N CHURCH AVE, LOUISVILLE, MS 39339",33.1442006,-89.0755588
"720 N CHURCH AVE, LOUISVILLE, MS 39339",33.1442006,-89.0755588
"278 HERRING RD, MORTON, MS 39117",32.3582345,-89.6101573
"108 MORRIS TULLOS DR, MORTON, MS 39117",32.3545871,-89.6535015
"108 MORRIS TULLOS DR -, MORTON, MS 39117",32.3545871,-89.6535015
"921 S MAIN ST, FOREST, MS 39074",32.3526249,-89.4736328
"182 JOHN MERL TATUM INDUSTRIAL DR, HATTIESBURG, MS 39401",NA,NA
"182 JOHN MERL TATUM INDUSTRIAL DR -, HATTIESBURG, MS 39401",NA,NA
"WL RUNNELS INDUSTRIAL DR, HATTIESBURG, MS 39401",NA,NA
"820 HIGHWAY 7 N, HOLLY SPRINGS, MS 38635",NA,NA
"9482 EASTSIDE DRIVE EXTENTION, NEWTON, MS 39345",NA,NA
"9482 EASTSIDE DRIVE EXTENTION -, NEWTON, MS 39345",NA,NA
"137 BUCK CREEK ROAD, NEW AUGUSTA, MS 39462",NA,NA
"504 WATERWAY DRIVE, AMORY, MS 38821",33.9966249,-88.5043568
"100 LEXINGTON CIR, LEXINGTON, MS 39095",NA,NA
"414 COUNTY FARM LANE, BROOKHAVEN, MS 39601",31.561044,-90.4101278
"414 COUNTY FARM LANE -, BROOKHAVEN, MS 39601",31.561044,-90.4101278
"159 ANDREW CHAPEL RD, BRANDON, MS 39042",NA,NA
"166 EASTPORT ST, BURNSVILLE, MS 38833",34.828686,-88.3205692
"1000 HEATCRAFT DR, GRENADA, MS 38901",33.8221558,-89.7944407
"3984 HWY 51 S, GRENADA, MS 38901",NA,NA
"201 MARSHALL DURBIN DR, WAYNESBORO, MS 39367",31.6473136,-88.6284825
"1301 JAMES ST, HATTIESBURG, MS 39401",31.303047,-89.276872
"1301 JAMES ST -, HATTIESBURG, MS 39401",31.303047,-89.276872
"1001 S FOURTH AVE, LAUREL, MS 39440",NA,NA
"908 HWY 15, NORTH, NEW ALBANY, MS 38652",NA,NA
"13569 HWY 45, SCOOBA, MS 39358",NA,NA
"951 PRISOCK RD -, JACKSON, MS 39272",NA,NA
"795 SAM T BARKLEY DR, NEW ALBANY, MS 38652",34.518549,-89.0082768
"201 APACHE DR., JACKSON, MS 39272",NA,NA
"101 65TH AVE, MERIDIAN, MS 39307",32.355535,-88.744649
"1115 C ST, MERIDIAN, MS 39301",32.3647367,-88.6882725
"1003 SYCAMORE ST, GREENWOOD, MS 38930",NA,NA
"4355 MILWAUKEE ST, JACKSON, MS 39209",32.3375521,-90.2434096
"4355 MILWAUKEE ST -, JACKSON, MS 39209",32.3375521,-90.2434096
"601 HWY 611, PASCAGOULA, MS 39581",NA,NA
"2733 S HARPER RD, CORINTH, MS 38834",34.9097615,-88.505564
"13201 HWY 63 N, MOSS POINT, MS 39562",NA,NA
"356 LANGSTON CIR, COLUMBUS, MS 39701",NA,NA
"80 COUNTY ROAD 210, BURNSVILLE, MS 38833",NA,NA
"3000 W 7TH ST, HATTIESBURG, MS 39401",31.3356422,-89.3351737
"5509 INDUSTRIAL RD, PASCAGOULA, MS 39581",30.3859849,-88.5026763
"449 HWY 51 N, BATESVILLE, MS 38606",NA,NA
"449 HWY 51 N -, BATESVILLE, MS 38606",NA,NA
"306 E STONEWALL RD, BYHALIA, MS 38611",34.8600699,-89.7067192
"106 WALKER ST, CLEVELAND, MS 38732",33.7504788,-90.7222822
"8477 HIGHWAY 51 N, COLDWATER, MS 38618",NA,NA
"8477 HIGHWAY 51 N -, COLDWATER, MS 38618",NA,NA
"123 EAST ELTON ROAD, JACKSON, MS 39212",NA,NA
"13522 HIGHWAY 80, FOREST, MS 39074",NA,NA
"2161 HWY 51 N, MADISON, MS 39110",32.3996659,-90.1429818
"1117 S RACEWAY RD, GREENVILLE, MS 38703",33.3813471,-91.0062016
"1117 S RACEWAY RD -, GREENVILLE, MS 38703",33.3813471,-91.0062016
"136 SWEETHOME RD, GRENADA, MS 38901",33.7231732,-89.8945915
"1920 BYRON ST, HATTIESBURG, MS 39402",31.3029291,-89.3186488
"1920 BYRON ST -, HATTIESBURG, MS 39402",31.3029291,-89.3186488
"1955 NAIL RD W, HORN LAKE, MS 38637",NA,NA
"1955 NAIL RD W -, HORN LAKE, MS 38637",NA,NA
"1401 FOREST AVE, JACKSON, MS 39213",32.3705052,-90.1998927
"5361 HIGHWAY 11 NORTH, ELLISVILLE, MS 39437",NA,NA
"906 SOUTH LOCUST STREET, MCCOMB, MS 39648",31.235482,-90.4389306
"5324 ARUNDEL ROAD, MERIDIAN, MS 39307",32.350603,-88.7322686
"5324 ARUNDEL ROAD -, MERIDIAN, MS 39307",32.350603,-88.7322686
"30 FELTUS ST, NATCHEZ, MS 39120",31.5450911,-91.365552
"735 NESBIT RD, NESBIT, MS 38651",34.8821967,-90.0026626
"695 HIGHWAY 30 EAST, OXFORD, MS 38655",34.3851456,-89.4986799
"133 NEW RAGSDALE ROAD, MADISON, MS 39110",32.553931,-90.0826785
